name,category,attraction_type,region,tourist_area,locality,municipality,tier,popularity,accessibility,open_in_september,best_season,needs_hiking,duration,tickets,photography,confidence,spots_within_25km,spots_within_50km,is_route,lat,lon,maps_url
DC3 Plane Crash,Points of Interest,Famous Wreck,South,South Coast,,Mýrdalshreppur,Tier 2 (A-Tier),High,Moderate (4km flat walk or shuttle bus),Yes - Fully Open,Year-Round,Strenuous / Long Hike (4km Flat Dirt Walk Each Way / 1.5h-2h Total unless Shuttle),Standard Visit (2h),Paid Parking Fee (~1000 ISK) / Paid Shuttle,4-Star,curated,14,24,,63.4590915,-19.3646824,"https://www.google.com/maps?q=63.4590915,-19.3646824"
Djúpalónssandur,Points of Interest,Black Pebble Beach,West,Snæfellsnes Peninsula,,Snæfellsbær,Tier 2 (A-Tier),High,Easy (Paved / 2WD),Yes - Fully Open,Year-Round,Short Easy Walk (15-20 min Path to Beach),Standard Visit (1h),Free / Open Access,4-Star,curated,12,18,,64.7503634,-23.9148746,"https://www.google.com/maps?q=64.7503634,-23.9148746"
Dyrhólaey,Points of Interest,Coastal Arch & Viewpoint,South,South Coast,,Mýrdalshreppur,Tier 2 (A-Tier),Very High,Easy (Paved / 2WD),Yes - Open (Note: Puffins depart early Sept),Year-Round,Short Easy Walk (10-15 min Walk to Lighthouse & Arch),Standard Visit (1h),Free / Open Access,5-Star (World-Class),curated,11,21,,63.4030714,-19.1155243,"https://www.google.com/maps?q=63.4030714,-19.1155243"
Hverír,Points of Interest,Geothermal Fumaroles,Northeast,North Iceland,,Þingeyjarsveit,Tier 2 (A-Tier),Very High,Easy (Paved / 2WD),Yes - Fully Open,Year-Round,No Hike (0-5 min Flat Walk),Quick Stop (45m),Paid Parking Fee (~1000 ISK),4-Star,curated,8,14,,65.6409337,-16.8093395,"https://www.google.com/maps?q=65.6409337,-16.8093395"
Kerið,Points of Interest,Volcanic Crater Lake,South,Golden Circle,,Grímsnes- og Grafningshreppur,Tier 2 (A-Tier),Very High,Easy (Paved / 2WD),Yes - Fully Open,Year-Round,Moderate Hike (20-30 min Rim Walk & Stairs),Quick Stop (30-45m),Paid Entrance Ticket (~600 ISK),4-Star,curated,14,56,,64.0412777,-20.8851385,"https://www.google.com/maps?q=64.0412777,-20.8851385"
Katla volcano ice cave,Tours and activities,Ice Cave Tour,South,South Coast,,Skaftárhreppur,Tier 2 (A-Tier),Very High,Remote (Super-Jeep Tour),Yes - Fully Open (Year-Round Ice Cave),Year-Round,Short Easy Walk (15-20 min Walk on Glacier Edge),Half-Day (3-4h),Ticket / Pre-Booking Required,5-Star (World-Class),curated,11,28,,63.6467299,-19.1302847,"https://www.google.com/maps?q=63.6467299,-19.1302847"
Glymur,Waterfalls,Canyon Waterfall Hike,West,West Iceland,,Hvalfjarðarsveit,Tier 2 (A-Tier),Very High,Moderate (Strenuous 3-4h hike),Yes - Open (Log bridge up),May-Sep,Strenuous / Long Hike (3.5h Loop / River Crossing & Cable),Half-Day (3-4h),Free / Open Access,5-Star (World-Class),curated,7,55,,64.3916755,-21.2505702999999,"https://www.google.com/maps?q=64.3916755,-21.2505702999999"
Haifoss Waterfall,Waterfalls,Waterfall,South,South Inland,,Skeiða- og Gnúpverjahreppur,Tier 2 (A-Tier),Very High,Challenging (Gravel / 4x4 recommended),Yes - Fully Open,May-Oct,Short Easy Walk (5-10 min Walk to Viewpoint),Standard Visit (1-1.5h),Free / Open Access,5-Star (World-Class),curated,4,25,,64.2078881,-19.6868531,"https://www.google.com/maps?q=64.2078881,-19.6868531"
Hraunfossar & Barnafoss,Waterfalls,Waterfall,West,West Iceland,Borgarbyggð,,Tier 2 (A-Tier),Very High,Easy (Paved / 2WD),Yes - Fully Open,Year-Round,Short Easy Walk (10-15 min Paved Paths),Standard Visit (1h),Paid Parking Fee (~1000 ISK),4-Star,curated,4,13,,64.702214,-20.9775996,"https://www.google.com/maps?q=64.702214,-20.9775996"
Háifoss and Granni,Waterfalls,Waterfall,South,South Inland,,Skeiða- og Gnúpverjahreppur,Tier 2 (A-Tier),Very High,Challenging (Gravel / 4x4 recommended),Yes - Fully Open,May-Oct,Short Easy Walk (5-10 min Walk to Viewpoint),Standard Visit (1-1.5h),Free / Open Access,5-Star (World-Class),curated,12,46,,64.0213359,-20.2555057,"https://www.google.com/maps?q=64.0213359,-20.2555057"
Svartifoss waterfall (Parking),Waterfalls,Basalt Column Waterfall,South,South Coast,,Sveitarfélagið Hornafjörður,Tier 2 (A-Tier),Very High,Moderate (1.5h round-trip hike),Yes - Fully Open,Year-Round,Moderate Hike (1.5h Round-Trip Uphill Trail),Standard Visit (1.5-2h),Paid Parking Fee (~1000 ISK),5-Star (World-Class),curated,6,15,,64.026412,-16.9767051,"https://www.google.com/maps?q=64.026412,-16.9767051"
Búri Cave,Caves,Caves,Reykjanes,,,Grindavíkurbær,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Short walk (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,20,40,,63.8237015,-22.6714897,"https://www.google.com/maps?q=63.8237015,-22.6714897"
Efra-Hvolshellar,Caves,Caves,South,,,Rangárþing eystra,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Short walk (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,7,35,,63.7609588888889,-20.1631744444444,"https://www.google.com/maps?q=63.7609588888889,-20.1631744444444"
Gjabakkahellir,Caves,Caves,South,,,Bláskógabyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Short walk (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,10,67,,64.2556601,-21.1300349,"https://www.google.com/maps?q=64.2556601,-21.1300349"
Leidarendi,Caves,Caves,Capital,,Hafnarfjarðarkaupstaður,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Short walk (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,32,76,,64.0032121,-21.7951584,"https://www.google.com/maps?q=64.0032121,-21.7951584"
Lofthellir,Caves,Caves,Northeast,,,Þingeyjarsveit,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Short walk (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,8,14,,65.5552101,-16.7225218,"https://www.google.com/maps?q=65.5552101,-16.7225218"
Maríuhellar,Caves,Caves,Capital,,Garðabær,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Short walk (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,29,77,,64.0716883,-21.892544,"https://www.google.com/maps?q=64.0716883,-21.892544"
Páskahellir,Caves,Caves,East,,,Fjarðabyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Short walk (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,15,29,,65.150935,-13.6554265,"https://www.google.com/maps?q=65.150935,-13.6554265"
Raufarholshellir,Caves,Caves,South,,,Sveitarfélagið Ölfus,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Short walk (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,14,62,,63.940638,-21.397071,"https://www.google.com/maps?q=63.940638,-21.397071"
Songhellir,Caves,Caves,West,,,Snæfellsbær,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Short walk (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,16,19,,64.781545,-23.678349,"https://www.google.com/maps?q=64.781545,-23.678349"
Surtshellir,Caves,Caves,West,,Borgarbyggð,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Short walk (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,3,7,,64.7815135,-20.7238197,"https://www.google.com/maps?q=64.7815135,-20.7238197"
Thrihnukagigur volcano,Caves,Caves,Capital,,Kópavogsbær,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Short walk (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,36,72,,63.998462,-21.6989636,"https://www.google.com/maps?q=63.998462,-21.6989636"
Vatnshellir,Caves,Caves,West,,,Snæfellsbær,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Short walk (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,13,18,,64.7477222,-23.8178712,"https://www.google.com/maps?q=64.7477222,-23.8178712"
Vidgelmir,Caves,Caves,West,,Borgarbyggð,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Short walk (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,3,9,,64.7503094,-20.8019075,"https://www.google.com/maps?q=64.7503094,-20.8019075"
Akranes Folk Museum,Cultural Centres & Museums,Cultural Centres & Museums,West,,Akraneskaupstaður,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,None (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,18,52,,64.3198875,-22.0450787,"https://www.google.com/maps?q=64.3198875,-22.0450787"
Akureyri Museum,Cultural Centres & Museums,Cultural Centres & Museums,Northeast,,Akureyrarbær,Akureyrarbær,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,None (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,11,16,,65.6666472,-18.0862578,"https://www.google.com/maps?q=65.6666472,-18.0862578"
Arctic Fox Centre,Cultural Centres & Museums,Cultural Centres & Museums,Westfjords,,,Súðavíkurhreppur,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,None (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,9,16,,66.03049,-22.9916969999999,"https://www.google.com/maps?q=66.03049,-22.9916969999999"
Aviation Museum,Cultural Centres & Museums,Cultural Centres & Museums,Northeast,,Akureyrarbær,Akureyrarbær,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,None (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,11,18,,65.6511593,-18.0751718,"https://www.google.com/maps?q=65.6511593,-18.0751718"
Bobby Fischer Center,Cultural Centres & Museums,Cultural Centres & Museums,South,,,Sveitarfélagið Árborg,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,None (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,13,51,,63.9375099,-20.9964163,"https://www.google.com/maps?q=63.9375099,-20.9964163"
East Iceland Heritage Museum,Cultural Centres & Museums,Cultural Centres & Museums,East,,,Múlaþing,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,None (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,9,28,,65.262566,-14.396389,"https://www.google.com/maps?q=65.262566,-14.396389"
Fræðasetrið Nature Center,Cultural Centres & Museums,Cultural Centres & Museums,Reykjanes,,,Suðurnesjabær,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,None (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,13,54,,64.0411791,-22.712624,"https://www.google.com/maps?q=64.0411791,-22.712624"
Gamlabúð Visitor Center / Vatnajökull National Park,Cultural Centres & Museums,Cultural Centres & Museums,South,,,Sveitarfélagið Hornafjörður,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,None (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,4,6,,64.2504123,-15.2038549,"https://www.google.com/maps?q=64.2504123,-15.2038549"
Harpa Concert Hall and Conference Centre,Cultural Centres & Museums,Cultural Centres & Museums,Capital,,Reykjavíkurborg,Reykjavíkurborg,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,None (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,25,70,,64.1503366,-21.9327021,"https://www.google.com/maps?q=64.1503366,-21.9327021"
INTO THE ARCTIC,Cultural Centres & Museums,Cultural Centres & Museums,Northeast,,Akureyrarbær,Akureyrarbær,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,None (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,12,16,,65.6856353,-18.079432,"https://www.google.com/maps?q=65.6856353,-18.079432"
Icelandic Phallological Museum,Cultural Centres & Museums,Cultural Centres & Museums,Capital,,Reykjavíkurborg,Reykjavíkurborg,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,None (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,28,70,,64.1430334,-21.9156432,"https://www.google.com/maps?q=64.1430334,-21.9156432"
Icelandic Seal Center,Cultural Centres & Museums,Cultural Centres & Museums,Northwest,,,Húnaþing vestra,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,None (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,3,10,,65.3956467,-20.9486103,"https://www.google.com/maps?q=65.3956467,-20.9486103"
Icelandic Wartime Museum (Íslenska stríðsárasafnið),Cultural Centres & Museums,Cultural Centres & Museums,East,,,Fjarðabyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,None (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,11,29,,65.03816,-14.2087463,"https://www.google.com/maps?q=65.03816,-14.2087463"
Icelandic Wonders,Cultural Centres & Museums,Cultural Centres & Museums,South,,,Sveitarfélagið Árborg,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,None (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,8,46,,63.836606,-21.0640559999999,"https://www.google.com/maps?q=63.836606,-21.0640559999999"
LAVA Centre,Cultural Centres & Museums,Cultural Centres & Museums,South,,,Rangárþing eystra,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,None (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,7,34,,63.7531739,-20.2362726,"https://www.google.com/maps?q=63.7531739,-20.2362726"
Laufás Museum,Cultural Centres & Museums,Cultural Centres & Museums,Northeast,,,Grýtubakkahreppur,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,None (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,8,20,,65.8941789,-18.0724454,"https://www.google.com/maps?q=65.8941789,-18.0724454"
Listasafnið á Akureyri / Akureyri Art Museum,Cultural Centres & Museums,Cultural Centres & Museums,Northeast,,Akureyrarbær,Akureyrarbær,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,None (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,12,16,,65.6803122,-18.0919291,"https://www.google.com/maps?q=65.6803122,-18.0919291"
Ljósafossstöð,Cultural Centres & Museums,Cultural Centres & Museums,South,,,Grímsnes- og Grafningshreppur,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,None (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,16,64,,64.0945201,-21.0102367,"https://www.google.com/maps?q=64.0945201,-21.0102367"
Minjahús,Cultural Centres & Museums,Cultural Centres & Museums,Northwest,,,Skagafjörður,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,None (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,4,10,,65.7510859,-19.6497067,"https://www.google.com/maps?q=65.7510859,-19.6497067"
